strain,phage,interaction
T145,LF82_P8,0
NILS62,LF82_P8,0
MT1B1,LF82_P8,0
NILS61,LF82_P8,1
LF82,LF82_P8,1
NILS26,LF82_P8,1
NILS80,LF82_P8,1
ED1A,LF82_P8,1
NILS20,LF82_P8,1
381A,LF82_P8,1
ECOR65,LF82_P8,1
NILS77,LF82_P8,0
ECOR64,LF82_P8,1
NILS28,LF82_P8,1
NILS58,LF82_P8,1
ECOR63,LF82_P8,1
NILS64,LF82_P8,0
NILS25,LF82_P8,1
NILS55,LF82_P8,0
NILS27,LF82_P8,1
NILS73,LF82_P8,1
NILS19,LF82_P8,0
LM33,LF82_P8,0
NILS44,LF82_P8,0
NILS53,LF82_P8,0
NILS76,LF82_P8,0
NILS63,LF82_P8,0
NILS69,LF82_P8,1
ECOR66,LF82_P8,1
DEC2A,LF82_P8,0
DEC1A,LF82_P8,0
NILS60,LF82_P8,1
ROAR434,LF82_P8,1
921A,LF82_P8,0
916A,LF82_P8,1
ECOR38,LF82_P8,0
ECOR39,LF82_P8,1
ECOR41,LF82_P8,0
ECOR40,LF82_P8,0
IAI39,LF82_P8,1
ECOR35,LF82_P8,1
ECOR36,LF82_P8,1
NILS36,LF82_P8,0
NILS01,LF82_P8,1
NILS39,LF82_P8,1
NILS50,LF82_P8,1
NILS46,LF82_P8,0
NILS18,LF82_P8,1
ECOR47,LF82_P8,1
ECOR44,LF82_P8,0
NILS38,LF82_P8,0
NILS51,LF82_P8,0
ECOR49,LF82_P8,0
ECOR50,LF82_P8,0
NILS56,LF82_P8,0
ECOR46,LF82_P8,0
NILS42,LF82_P8,1
NILS52,LF82_P8,1
ECOR48,LF82_P8,1
NILS23,LF82_P8,0
H14,LF82_P8,0
ROAR400,LF82_P8,0
NILS49,LF82_P8,0
NILS24,LF82_P8,0
H4,LF82_P8,1
H48,LF82_P8,1
ECOR34,LF82_P8,1
ECOR32,LF82_P8,0
ECOR33,LF82_P8,1
ECOR30,LF82_P8,0
ECOR29,LF82_P8,1
ECOR67,LF82_P8,1
NILS02,LF82_P8,1
ECOR26,LF82_P8,0
ECOR27,LF82_P8,1
ECOR28,LF82_P8,1
ECOR45,LF82_P8,1
55989,LF82_P8,1
NILS33,LF82_P8,1
ECOR69,LF82_P8,0
ECOR58,LF82_P8,1
ECOR72,LF82_P8,0
NILS47,LF82_P8,1
ECOR70,LF82_P8,1
ECOR71,LF82_P8,1
NILS15,LF82_P8,1
NILS48,LF82_P8,1
NILS34,LF82_P8,1
NILS40,LF82_P8,0
ECOR11,LF82_P8,0
NILS09,LF82_P8,1
NILS30,LF82_P8,1
NILS32,LF82_P8,1
NILS06,LF82_P8,0
NILS22,LF82_P8,0
NILS16,LF82_P8,1
NILS35,LF82_P8,0
ECOR10,LF82_P8,0
ECOR12,LF82_P8,1
ECOR25,LF82_P8,1
NILS13,LF82_P8,0
NILS10,LF82_P8,0
NILS07,LF82_P8,1
NILS14,LF82_P8,0
ECOR13,LF82_P8,1
NILS11,LF82_P8,1
ECOR14,LF82_P8,0
NILS08,LF82_P8,0
ECOR21,LF82_P8,0
ECOR20,LF82_P8,0
ECOR18,LF82_P8,0
ECOR19,LF82_P8,0
NILS17,LF82_P8,0
NILS12,LF82_P8,1
ECOR23,LF82_P8,0
NILS41,LF82_P8,0
BL21,LF82_P8,0
ECOR17,LF82_P8,0
NILS03,LF82_P8,0
ECOR22,LF82_P8,1
ECOR16,LF82_P8,1
NILS04,LF82_P8,0
ECOR15,LF82_P8,1
NILS43,LF82_P8,1
NILS37,LF82_P8,1
ECOR24,LF82_P8,1
